year,quarter,county,sales,month,date
2013,1,Weld,153280000,01,2013-01-01
2013,2,Adams,309945000,04,2013-04-01
2013,2,Arapahoe,702107000,04,2013-04-01
2013,2,Boulder,179695000,04,2013-04-01
2013,2,Broomfield,42235000,04,2013-04-01
2013,2,Denver,202713000,04,2013-04-01
2013,2,Douglas,108345000,04,2013-04-01
2013,2,El Paso,416659000,04,2013-04-01
2013,2,Fremont,10006000,04,2013-04-01
2013,2,Garfield,53088000,04,2013-04-01
2013,2,Jefferson,314658000,04,2013-04-01
2013,2,La Plata,27179000,04,2013-04-01
2013,2,Larimer,180428000,04,2013-04-01
2013,2,Mesa,81005000,04,2013-04-01
2013,2,Pueblo,80198000,04,2013-04-01
2013,2,Rest of State,143023000,04,2013-04-01
2013,2,Weld,171209000,04,2013-04-01
2013,3,Adams,316137000,07,2013-07-01
2013,3,Arapahoe,745398000,07,2013-07-01
2013,3,Boulder,188585000,07,2013-07-01
2013,3,Broomfield,45406000,07,2013-07-01
2013,3,Denver,213029000,07,2013-07-01
2013,3,Douglas,116794000,07,2013-07-01
2013,3,El Paso,435720000,07,2013-07-01
2013,3,Fremont,10272000,07,2013-07-01
2013,3,Garfield,57841000,07,2013-07-01
2013,3,Jefferson,330794000,07,2013-07-01
2013,3,La Plata,28799000,07,2013-07-01
2013,3,Larimer,194820000,07,2013-07-01
2013,3,Mesa,80959000,07,2013-07-01
2013,3,Pueblo,83874000,07,2013-07-01
2013,3,Rest of State,150001000,07,2013-07-01
2013,3,Weld,184941000,07,2013-07-01
2013,4,Adams,275255000,10,2013-10-01
2013,4,Arapahoe,732627000,10,2013-10-01
2013,4,Boulder,196900000,10,2013-10-01
2013,4,Broomfield,40346000,10,2013-10-01
2013,4,Denver,223955000,10,2013-10-01
2013,4,Douglas,123295000,10,2013-10-01
2013,4,El Paso,423492000,10,2013-10-01
2013,4,Fremont,9673000,10,2013-10-01
2013,4,Garfield,62683000,10,2013-10-01
2013,4,Jefferson,324108000,10,2013-10-01
2013,4,La Plata,30899000,10,2013-10-01
2013,4,Larimer,195480000,10,2013-10-01
2013,4,Mesa,79573000,10,2013-10-01
2013,4,Pueblo,76429000,10,2013-10-01
2013,4,Rest of State,146386000,10,2013-10-01
2013,4,Weld,178264000,10,2013-10-01
2014,1,Adams,283396000,01,2014-01-01
2014,1,Arapahoe,675104000,01,2014-01-01
2014,1,Boulder,185674000,01,2014-01-01
2014,1,Broomfield,36051000,01,2014-01-01
2014,1,Denver,202073000,01,2014-01-01
2014,1,Douglas,107931000,01,2014-01-01
2014,1,El Paso,401889000,01,2014-01-01
2014,1,Fremont,10504000,01,2014-01-01
2014,1,Garfield,55715000,01,2014-01-01
2014,1,Jefferson,300816000,01,2014-01-01
2014,1,La Plata,27358000,01,2014-01-01
2014,1,Larimer,178962000,01,2014-01-01
2014,1,Mesa,83340000,01,2014-01-01
2014,1,Pueblo,80844000,01,2014-01-01
2014,1,Rest of State,136362000,01,2014-01-01
2014,1,Weld,170625000,01,2014-01-01
2014,2,Adams,360030000,04,2014-04-01
2014,2,Arapahoe,754420000,04,2014-04-01
2014,2,Boulder,203849000,04,2014-04-01
2014,2,Broomfield,42590000,04,2014-04-01
2014,2,Denver,220982000,04,2014-04-01
2014,2,Douglas,121608000,04,2014-04-01
2014,2,El Paso,443721000,04,2014-04-01
2014,2,Fremont,10861000,04,2014-04-01
2014,2,Garfield,69082000,04,2014-04-01
2014,2,Jefferson,344818000,04,2014-04-01
2014,2,La Plata,29590000,04,2014-04-01
2014,2,Larimer,208887000,04,2014-04-01
2014,2,Mesa,86760000,04,2014-04-01
2014,2,Pueblo,84645000,04,2014-04-01
2014,2,Rest of State,154778000,04,2014-04-01
2014,2,Weld,194421000,04,2014-04-01
2014,3,Adams,376643000,07,2014-07-01
2014,3,Arapahoe,841601000,07,2014-07-01
2014,3,Boulder,218816000,07,2014-07-01
2014,3,Broomfield,46039000,07,2014-07-01
2014,3,Denver,242122000,07,2014-07-01
2014,3,Douglas,130007000,07,2014-07-01
2014,3,El Paso,469418000,07,2014-07-01
2014,3,Fremont,11600000,07,2014-07-01
2014,3,Garfield,76284000,07,2014-07-01
2014,3,Jefferson,381093000,07,2014-07-01
2014,3,La Plata,33303000,07,2014-07-01
2014,3,Larimer,234870000,07,2014-07-01
2014,3,Mesa,94968000,07,2014-07-01
2014,3,Pueblo,93183000,07,2014-07-01
2014,3,Rest of State,162490000,07,2014-07-01
2014,3,Weld,211909000,07,2014-07-01
2014,4,Adams,360045000,10,2014-10-01
2014,4,Arapahoe,842332000,10,2014-10-01
2014,4,Boulder,220250000,10,2014-10-01
2014,4,Broomfield,38690000,10,2014-10-01
2014,4,Denver,231237000,10,2014-10-01
2014,4,Douglas,135400000,10,2014-10-01
2014,4,El Paso,445584000,10,2014-10-01
2014,4,Fremont,10579000,10,2014-10-01
2014,4,Garfield,69763000,10,2014-10-01
2014,4,Jefferson,360044000,10,2014-10-01
2014,4,La Plata,34040000,10,2014-10-01
2014,4,Larimer,224967000,10,2014-10-01
2014,4,Mesa,87967000,10,2014-10-01
2014,4,Pueblo,85225000,10,2014-10-01
2014,4,Rest of State,164383000,10,2014-10-01
2014,4,Weld,189949000,10,2014-10-01
2015,1,Adams,333871000,01,2015-01-01
2015,1,Arapahoe,775994000,01,2015-01-01
2015,1,Boulder,202783000,01,2015-01-01
2015,1,Broomfield,42272000,01,2015-01-01
2015,1,Denver,219502000,01,2015-01-01
2015,1,Douglas,124919000,01,2015-01-01
2015,1,El Paso,433030000,01,2015-01-01
2015,1,Fremont,11133000,01,2015-01-01
2015,1,Garfield,59708000,01,2015-01-01
2015,1,Jefferson,339280000,01,2015-01-01
2015,1,La Plata,31148000,01,2015-01-01
2015,1,Larimer,209631000,01,2015-01-01
2015,1,Mesa,88637000,01,2015-01-01
2015,1,Pueblo,94442000,01,2015-01-01
2015,1,Rest of State,150149000,01,2015-01-01
2015,1,Weld,174774000,01,2015-01-01
2015,2,Adams,399131000,04,2015-04-01
2015,2,Arapahoe,849884000,04,2015-04-01
2015,2,Boulder,224158000,04,2015-04-01
2015,2,Broomfield,46717000,04,2015-04-01
2015,2,Denver,248344000,04,2015-04-01
2015,2,Douglas,142661000,04,2015-04-01
2015,2,El Paso,465224000,04,2015-04-01
2015,2,Fremont,12722000,04,2015-04-01
2015,2,Garfield,65984000,04,2015-04-01
2015,2,Jefferson,378957000,04,2015-04-01
2015,2,La Plata,33738000,04,2015-04-01
2015,2,Larimer,223306000,04,2015-04-01
2015,2,Mesa,94043000,04,2015-04-01
2015,2,Pueblo,99510000,04,2015-04-01
2015,2,Rest of State,160684000,04,2015-04-01
2015,2,Weld,197771000,04,2015-04-01
2015,3,Adams,404160000,07,2015-07-01
2015,3,Arapahoe,916910000,07,2015-07-01
2015,3,Boulder,237226000,07,2015-07-01
2015,3,Broomfield,52778000,07,2015-07-01
2015,3,Denver,249455000,07,2015-07-01
2015,3,Douglas,167915000,07,2015-07-01
2015,3,El Paso,506447000,07,2015-07-01
2015,3,Fremont,13905000,07,2015-07-01
2015,3,Garfield,71474000,07,2015-07-01
2015,3,Jefferson,415789000,07,2015-07-01
2015,3,La Plata,36524000,07,2015-07-01
2015,3,Larimer,254019000,07,2015-07-01
2015,3,Mesa,99615000,07,2015-07-01
2015,3,Pueblo,104210000,07,2015-07-01
2015,3,Rest of State,175061000,07,2015-07-01
2015,3,Weld,210952000,07,2015-07-01
2015,4,Adams,374341000,10,2015-10-01
2015,4,Arapahoe,865649000,10,2015-10-01
2015,4,Boulder,228883000,10,2015-10-01
2015,4,Broomfield,44678000,10,2015-10-01
2015,4,Denver,226359000,10,2015-10-01
2015,4,Douglas,161211000,10,2015-10-01
2015,4,El Paso,474267000,10,2015-10-01
2015,4,Fremont,12039000,10,2015-10-01
2015,4,Garfield,67262000,10,2015-10-01
2015,4,Jefferson,388977000,10,2015-10-01
2015,4,La Plata,35742000,10,2015-10-01
2015,4,Larimer,244327000,10,2015-10-01
2015,4,Mesa,88202000,10,2015-10-01
2015,4,Pueblo,94606000,10,2015-10-01
2015,4,Rest of State,157059000,10,2015-10-01
2015,4,Weld,192583000,10,2015-10-01
